construct_key,Total_CP,Interface_CP
p4_r5_she,-9.059999999999995,0.0989891101618548
p4_r5_she_plus_p7_r5_she,-9.339999999999996,0.0982026007946121
p4_r5_sne,-11.259999999999991,0.097017435481524
p4_r5_sne_plus_p7_r5_sne,-12.369999999999997,0.0945563280011497
p4_r5_swd_plus_p7_r5_swd,0.21000000000000796,0.0068124710908391
p4_r5_the_plus_p7_r5_the,-9.949999999999996,0.098154911446021
p5_r6_aye,-1.0599999999999952,0.0079642747596384
p5_r6_nye,-0.47999999999998977,0.0062715268325837
p5_r6_sfe,-1.3200000000000003,0.0082432510687472
p5_r6_swd,-3.8200000000000003,0.0201484535345274
p5_r6_syq,-0.2149999999999963,0.0036545605016005
p5_r6_thn,0.37999999999999545,0.0081287014196259
p5_r6_twd,-2.239999999999995,0.0109262724509526
p5_r6_tye,-0.6999999999999957,0.0027946181878158
p5_r6_vfn,-1.1800000000000068,0.0076416194687599
p6_r7_qfw,-1.4099999999999966,0.0127688807650589
p6_r7_qrw,-2.019999999999996,0.0121751296878457
p6_r7_trq,-0.9099999999999966,0.0093960185066065
p6_r7_wfd,-2.9399999999999977,0.0169414724116859
p6_r7_wfq,-7.240000000000009,0.1047633661034628
p7_r5_syvirr,-1.2199999999999989,0.0122864546769693
p8_r6_gve,-0.9599999999999866,0.011665427955159
