endpoint,P,n_selected_contacts,importance,cp_share,mean_contact_importance,method,cp_fraction_of_total_weight
C295,3,22,0.17430838529578233,0.17430838529578233,0.00792310842253556,RF impurity importance,1.0
C295,5,21,0.1640322217155774,0.1640322217155774,0.007811058176932258,RF impurity importance,1.0
C295,2,20,0.15905005139299547,0.15905005139299547,0.007952502569649774,RF impurity importance,1.0
C295,4,24,0.15200132624675206,0.15200132624675206,0.006333388593614669,RF impurity importance,1.0
C295,6,21,0.07456481264495875,0.07456481264495875,0.0035507053640456547,RF impurity importance,1.0
C295,7,27,0.07167230348592722,0.07167230348592722,0.002654529758738045,RF impurity importance,1.0
C295,8,22,0.06058335410219576,0.06058335410219576,0.00275378882282708,RF impurity importance,1.0
C295,9,21,0.043765666278249425,0.043765666278249425,0.002084079346583306,RF impurity importance,1.0
C295,12,11,0.038020417725260304,0.038020417725260304,0.0034564016113873,RF impurity importance,1.0
C295,11,13,0.0236235880062497,0.0236235880062497,0.001817199077403823,RF impurity importance,1.0
C295,0,10,0.013993456772610437,0.013993456772610437,0.0013993456772610437,RF impurity importance,1.0
C295,10,22,0.012503325685420574,0.012503325685420574,0.0005683329857009352,RF impurity importance,1.0
C295,1,16,0.0118810906480206,0.0118810906480206,0.0007425681655012875,RF impurity importance,1.0
C388,3,26,0.7281716748665321,0.12103871711899883,0.028006602879482003,mean absolute coefficient on standardized original features,0.4358779212698781
C388,4,26,0.6806077740772956,0.11313251349777208,0.026177222079895982,mean absolute coefficient on standardized original features,0.4358779212698781
C388,7,19,0.5138412949576884,0.08541212641351845,0.0270442786819836,mean absolute coefficient on standardized original features,0.4358779212698781
C388,11,17,0.5024028680965036,0.08351079934886561,0.029553109888029623,mean absolute coefficient on standardized original features,0.4358779212698781
C388,10,24,0.4941518534300099,0.0821392927871122,0.020589660559583747,mean absolute coefficient on standardized original features,0.4358779212698781
C388,5,22,0.48016446318509204,0.07981426995317954,0.021825657417504182,mean absolute coefficient on standardized original features,0.4358779212698781
C388,6,20,0.4764444251203291,0.07919591489964735,0.023822221256016456,mean absolute coefficient on standardized original features,0.4358779212698781
C388,2,16,0.4287191317824404,0.07126288416097604,0.026794945736402526,mean absolute coefficient on standardized original features,0.4358779212698781
C388,12,17,0.38780955614749885,0.06446278093855452,0.022812326832205816,mean absolute coefficient on standardized original features,0.4358779212698781
C388,8,17,0.38695324401367354,0.0643204423586439,0.02276195553021609,mean absolute coefficient on standardized original features,0.4358779212698781
C388,1,18,0.35457346466584616,0.05893818555282177,0.019698525814769233,mean absolute coefficient on standardized original features,0.4358779212698781
C388,9,17,0.3468912603690666,0.05766122822967586,0.020405368257003918,mean absolute coefficient on standardized original features,0.4358779212698781
C388,0,11,0.23529173142128926,0.03911084474023372,0.021390157401935388,mean absolute coefficient on standardized original features,0.4358779212698781
C871,0,170,11.164399946982948,0.19254712836127003,0.06567294086460558,mean absolute coefficient on standardized original features,1.0
C871,1,94,7.925349340995831,0.13668475369166758,0.08431222703187055,mean absolute coefficient on standardized original features,1.0
C871,10,68,6.0358380413120285,0.10409724549705068,0.0887623241369416,mean absolute coefficient on standardized original features,1.0
C871,11,62,4.722593478274156,0.08144833730227342,0.07617086255280897,mean absolute coefficient on standardized original features,1.0
C871,12,79,4.267536432541123,0.07360018354456635,0.05401944851317877,mean absolute coefficient on standardized original features,1.0
C871,2,68,4.265593345490762,0.0735666720407256,0.06272931390427591,mean absolute coefficient on standardized original features,1.0
C871,4,77,3.444918413571494,0.05941287943122325,0.044739200176253165,mean absolute coefficient on standardized original features,1.0
C871,7,76,3.1005781108650825,0.053474205003576365,0.040797080406119506,mean absolute coefficient on standardized original features,1.0
C871,3,63,3.0489097508366414,0.05258310522232022,0.04839539287042288,mean absolute coefficient on standardized original features,1.0
C871,9,50,2.9194133321773865,0.050349741703965924,0.05838826664354773,mean absolute coefficient on standardized original features,1.0
C871,6,68,2.70675805730363,0.04668217670250934,0.0398052655485828,mean absolute coefficient on standardized original features,1.0
C871,5,71,2.473483496072591,0.04265900061619315,0.034837795719332265,mean absolute coefficient on standardized original features,1.0
C871,8,54,1.907315619526242,0.03289457088265806,0.035320659620856336,mean absolute coefficient on standardized original features,1.0
