candidate_id,feature_set,inner_AUC,inner_AP
0,CP_density3,0.9047619047619048,0.7777777777777777
1,CP_density3,0.9047619047619048,0.7777777777777777
2,CP_density3,0.9047619047619048,0.7777777777777777
3,CP_density3,0.9047619047619048,0.7777777777777777
4,CP_density3,0.9047619047619048,0.7777777777777777
5,CP_density3,0.9047619047619048,0.7777777777777777
6,CP_density3,0.9047619047619048,0.7777777777777777
7,CP_density3,0.9047619047619048,0.7777777777777777
8,CP_density3,0.9047619047619048,0.7777777777777777
10,CP_density3,0.9047619047619048,0.7777777777777777
11,CP_density3,0.9047619047619048,0.7777777777777777
12,CP_density3,0.9047619047619048,0.7777777777777777
13,CP_density3,0.9047619047619048,0.7777777777777777
14,CP_density3,0.9047619047619048,0.7777777777777777
15,CP_density3,0.9047619047619048,0.7777777777777777
31,CP_summary14,0.876984126984127,0.7222222222222222
38,CP_structure17,0.876984126984127,0.7222222222222222
16,CP_summary14,0.8571428571428571,0.75
17,CP_summary14,0.8571428571428571,0.75
18,CP_summary14,0.8571428571428571,0.75
22,CP_summary14,0.8571428571428571,0.75
23,CP_summary14,0.8571428571428571,0.75
27,CP_summary14,0.8571428571428571,0.75
28,CP_summary14,0.8571428571428571,0.75
29,CP_summary14,0.8571428571428571,0.75
30,CP_summary14,0.8571428571428571,0.75
9,CP_density3,0.8492063492063493,0.611111111111111
24,CP_summary14,0.8492063492063492,0.6944444444444443
26,CP_summary14,0.8492063492063492,0.6944444444444443
33,CP_structure17,0.8492063492063492,0.6944444444444443
34,CP_structure17,0.8492063492063492,0.6944444444444443
44,CP_structure17,0.8492063492063492,0.6944444444444443
35,CP_structure17,0.8353174603174603,0.6777777777777777
36,CP_structure17,0.8353174603174603,0.6777777777777777
37,CP_structure17,0.8353174603174603,0.6777777777777777
19,CP_summary14,0.8293650793650794,0.6944444444444443
20,CP_summary14,0.8293650793650794,0.6944444444444443
21,CP_summary14,0.8293650793650794,0.6944444444444443
32,CP_structure17,0.8214285714285715,0.6777777777777777
39,CP_structure17,0.8214285714285715,0.6777777777777777
40,CP_structure17,0.8214285714285715,0.6777777777777777
42,CP_structure17,0.8214285714285715,0.6777777777777777
43,CP_structure17,0.8214285714285715,0.6777777777777777
45,CP_structure17,0.8214285714285715,0.6777777777777777
46,CP_structure17,0.8214285714285715,0.6777777777777777
47,CP_structure17,0.8214285714285715,0.6777777777777777
41,CP_structure17,0.7936507936507936,0.6666666666666666
25,CP_summary14,0.7380952380952381,0.4166666666666667
