construct,seed,design_id,length,repeat_count,loop_count,iptm,ptm,plddt_p10,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,XGB_score,RF_score,LR_score,formula4_score
10_130_r123_r567_r567_r56loop7_r67_no8,1,10.0,620.0,15.0,1.0,0.9200000000000002,0.828,81.39436515151515,1.3580645161290323,90.81781309907834,1.6342941045761108,4.178016281127929,2.45654845237732,2.4080645161290324,1.3830161094665527,1.181322693824768,1.153225806451613,50.68000030517578,3.8984615802764884,0.9864999651908877,0.8230769634246826,0.0900000035762786,0.7692307692307693,0.0580645161290322,3.5384615384615388,0.75572133,0.7637081757510813,0.9299115672588332,0.8436794293413766
10_130_r123_r567_r567_r56loop7_r67_no8,2,10.0,620.0,15.0,1.0,0.9200000000000002,0.826,80.00682323232323,1.3483870967741935,90.49846328038448,1.611644458770752,4.147568988800049,2.449967622756958,2.3967741935483877,1.3769677877426147,1.1814031600952148,1.153225806451613,50.61000442504883,3.8930773735046396,0.985499978065491,0.8199999332427979,0.0900000035762786,0.7692307692307693,0.0580645161290322,3.5384615384615388,0.75572133,0.7637081757510813,0.9160360940505063,0.8520412289391225
10_130_r123_r567_r567_r56loop7_r67_no8,3,10.0,620.0,15.0,1.0,0.922,0.828,79.94027176767676,1.3403225806451613,90.44625397488713,1.671337628364563,4.239216423034668,2.450790405273437,2.3870967741935485,1.3772902488708496,1.1807419061660769,1.1451612903225807,50.6400032043457,3.8953847885131845,0.985499978065491,0.8169230818748474,0.0900000035762786,0.7692307692307693,0.0580645161290322,3.5384615384615388,0.75572133,0.7637081757510813,0.9029584456147607,0.7528718590644248
10_130_r123_r567_r567_r56loop7_r67_no8,4,10.0,620.0,15.0,1.0,0.922,0.8299999999999998,81.69052181818182,1.367741935483871,90.88242128997346,1.6094773530960083,4.203968620300293,2.459693431854248,2.42258064516129,1.3833869695663452,1.1824839115142822,1.164516129032258,50.720001220703125,3.901538610458374,0.9864999651908877,0.8176923394203186,0.0799999982118606,0.7692307692307693,0.0596774193548387,3.615384615384616,0.75572133,0.752358969401875,0.9439784532562906,0.8373713824880121
11_130_r123_r567_r567_r56loop7_r67loop8,1,11.0,627.0,15.0,2.0,0.9200000000000002,0.828,81.77117777777778,1.3444976076555024,90.8936890390577,1.6669753551483155,4.1847611427307125,2.457815170288086,2.40829346092504,1.372408390045166,1.1792982816696167,1.1515151515151516,50.68000030517578,3.8984615802764884,0.9859999418258669,0.821538507938385,0.0900000035762786,0.7692307692307693,0.0574162679425837,3.5384615384615388,0.75572133,0.7637081757510813,0.9165730680917538,0.8210169075623313
11_130_r123_r567_r567_r56loop7_r67loop8,2,11.0,627.0,15.0,2.0,0.9200000000000002,0.82,81.72248727272728,1.3397129186602872,90.94247869501578,1.6674386024475099,4.170881366729736,2.4530301094055176,2.397129186602871,1.369425892829895,1.1766825914382937,1.1467304625199362,50.59999847412109,3.8923075199127206,0.9869999885559082,0.823846161365509,0.0900000035762786,0.7692307692307693,0.0574162679425837,3.5384615384615388,0.75572133,0.7637081757510813,0.9002680332539753,0.8275465123378144
11_130_r123_r567_r567_r56loop7_r67loop8,3,11.0,627.0,15.0,2.0,0.924,0.828,80.43348,1.342902711323764,90.74803488680378,1.6307322263717652,4.248548889160157,2.452376365661621,2.40829346092504,1.368835687637329,1.1780861616134644,1.1515151515151516,50.720001220703125,3.901538610458374,0.9864999651908877,0.823846161365509,0.0900000035762786,0.7692307692307693,0.0574162679425837,3.5384615384615388,0.75572133,0.7637081757510813,0.9097815536284724,0.7575280208875341
11_130_r123_r567_r567_r56loop7_r67loop8,4,11.0,627.0,15.0,2.0,0.9280000000000002,0.826,81.59731717171717,1.3476874003189792,90.86775481529811,1.666109299659729,4.224330806732178,2.4552791118621826,2.405103668261563,1.3724242448806765,1.177033543586731,1.1483253588516746,50.84000396728516,3.910769462585449,0.9889999628067014,0.8246153593063354,0.0900000035762786,0.7692307692307693,0.05901116427432209,3.615384615384616,0.75572133,0.7365578941330578,0.9096998128761251,0.7889182745819913
12_130_r123456654loop328,1,12.0,513.0,12.0,1.0,0.9200000000000002,0.86,76.86971707070708,1.3060428849902534,90.32022468995159,1.6718214750289917,4.251834583282471,2.4112865924835205,2.352826510721248,1.3519493341445925,1.169083833694458,1.1306042884990253,54.52999877929689,4.194615364074707,0.9934999346733091,0.8376922607421875,0.0900000035762786,0.7692307692307693,0.0760233918128654,4.0,0.2670044,0.47396118214727284,0.7038883358645397,0.6747156546068117
12_130_r123456654loop328,2,12.0,513.0,12.0,1.0,0.9200000000000002,0.8560000000000001,75.4604696825397,1.2923976608187135,90.03842212039639,1.7382754802703857,4.294650745391846,2.399902582168579,2.3391812865497075,1.3416763544082642,1.1597659587860107,1.115009746588694,54.44000244140625,4.187692642211914,0.9934999346733091,0.8353846669197083,0.0900000035762786,0.7692307692307693,0.0779727095516569,4.076923076923077,0.24427862,0.35544687675956615,0.5815259093957776,0.5735616606434544
12_130_r123456654loop328,3,12.0,513.0,12.0,1.0,0.924,0.8619999999999999,74.04437767676768,1.2943469785575048,89.78530302411471,1.7500768899917603,4.342652702331543,2.397660732269287,2.341130604288499,1.3397270441055298,1.1579142808914185,1.1189083820662769,54.27000427246094,4.174615859985352,0.9934999346733091,0.8392307758331299,0.0900000035762786,0.7692307692307693,0.0779727095516569,4.0,0.24427862,0.33125908882842003,0.5861110108094596,0.49942876578019146
12_130_r123456654loop328,4,12.0,513.0,12.0,1.0,0.922,0.8619999999999999,76.62619571428573,1.3021442495126705,90.36111872202954,1.663425040245056,4.3270158767700195,2.4022417068481445,2.348927875243665,1.343879222869873,1.1621443033218384,1.1267056530214423,54.310001373291016,4.177692413330078,0.9934999346733091,0.8384615778923035,0.0900000035762786,0.7692307692307693,0.0779727095516569,4.076923076923077,0.2670044,0.40289262839355294,0.642951425111371,0.5668527960665731
13_130_r12345665432loop8,1,13.0,513.0,12.0,1.0,0.9259999999999999,0.8320000000000001,62.25634285714286,1.2319688109161793,87.10456839503361,2.2601372241973876,4.289237785339355,2.3444247245788574,2.249512670565302,1.304152011871338,1.125165581703186,1.0682261208576995,54.09000015258789,4.160769462585449,0.9934999346733091,0.8384615778923035,0.0900000035762786,0.7692307692307693,0.0760233918128654,4.0,0.24427862,0.04346850614087992,0.14652504110841993,0.3078965533465095
